"CATEGORY","HANDLE","PARCELID","PROPERTYADDRESS"
"Vacant Lot","13689000090","36899090000","4224 W MAFFITT AV "
"Fenced & Locked or Paved Lot","14583000210","45839210000","519 WHITTIER ST "
"Fenced & Locked or Paved Lot","14583000236","45839236000","4213 OLIVE ST "
"Vacant Lot","14571000370","45719370000","4329 ENRIGHT AV "
"Vacant Building","13567000240","35679240000","4214 CARTER AV "
"Vacant Lot","13705000280","37059280000","4423 ST FERDINAND AV "
"Fenced & Locked or Paved Lot","13705000300","37059300000","4431 ST FERDINAND AV "
"Vacant Lot","13232000130","32329130000","8400 S BROADWAY "
"Vacant Lot","13714000110","37149110000","4602 ST LOUIS AV "
"Vacant Lot","13629020350","36299385000","3849 LINCOLN AV "
"Vacant Building","12399000010","23999010000","4012 GLASGOW AV "
"Vacant Lot","12399000020","23999020000","4014 GLASGOW AV "
"Vacant Lot","14567000230","45679230000","4203 WEST BELLE PL "
"Fenced & Locked or Paved Lot","14557000280","45579280000","4549 OLIVE ST "
"Vacant Lot","14564000490","45649490000","3961 C D BANKS AV "
"Vacant Lot","14545000213","45459213000","5851 CLEMENS AV "
"Demolition","14527000320","45279320000","1601 BELT AV "
"Vacant Lot","14531000420","45319420000","5547 COTE BRILLIANTE AV "
"Fenced & Locked or Paved Lot","14528000070","45289070000","1940 BURD AV "
"Vacant Lot","14534000630","45349630000","2715 BELT AV "
"Vacant Lot","13615000220","36159220000","4329 MARGARETTA AV "
"Vacant Lot","13620000410","36209410000","3049 CLARENCE AV "
"Vacant Lot","13353000030","33539030000","4310 DESOTO AV "
"Vacant Lot","13198000065","31989065000","8300 VULCAN ST "
"Fenced & Locked or Paved Lot","12835000130","28359130000","5404 MINNESOTA AV "
"Vacant Lot","13213000210","32139210000","529 MARCEAU ST "
"Vacant Building","12399000040","23999040000","4018 GLASGOW AV "
"Ranken Tech","14569000110","45699110000","4429 WEST BELLE PL "
"Vacant Lot","14567000240","45679240000","4209 WEST BELLE PL "
"Ranken Tech","14558000090","45589090000","4344 COOK AV "
"Vacant Building","14553050140","45539070000","4520 PAGE BLVD "
